Число заpегистpиpованных пpеступлений - всего   (единица)
;Число заpегистpиp...

1990;    336 024
1991;    399 921
1992;    508 201
1993;    516 044
1994;    508 532
1995;    551 124
1996;    531 851
1997;    471 912
1998;    505 437
1999;    575 013
2000;    596 841
2001;    602 343
2002;    568 412
2003;    643 144
2004;    658 990
2005;    779 968
2006;    808 433
2007;    764 203
2008;    692 377
2009;    669 251
2010;    601 252
2011;    563 746
2012;    548 415
2013;    526 090
2014;    517 802
2015;    556 490
